dataset,model,role,fold,accuracy,macro_precision,macro_recall,macro_f1,roc_auc
Breast Cancer Wisconsin (WDBC),AdaBoost (ours),project_implementation,1,0.9912280701754386,0.9930555555555556,0.9883720930232558,0.99062114356232,0.9970520799213888
Breast Cancer Wisconsin (WDBC),AdaBoost (ours),project_implementation,2,0.9385964912280702,0.9412162162162162,0.9277759580740256,0.933693394266722,0.9918113331149689
Breast Cancer Wisconsin (WDBC),AdaBoost (ours),project_implementation,3,0.956140350877193,0.9605128205128205,0.9454365079365079,0.9521289997480473,0.9821428571428572
Breast Cancer Wisconsin (WDBC),AdaBoost (ours),project_implementation,4,0.9736842105263158,0.9666666666666667,0.9791666666666667,0.9721203228173148,1.0
Breast Cancer Wisconsin (WDBC),AdaBoost (ours),project_implementation,5,0.9734513274336283,0.9797297297297297,0.9642857142857143,0.9711366538952746,0.9959758551307847
Breast Cancer Wisconsin (WDBC),Single tree (sklearn reference only),reference_only,1,0.9210526315789473,0.9119318181818181,0.9274484113986243,0.9177027352209834,0.9274484113986243
Breast Cancer Wisconsin (WDBC),Single tree (sklearn reference only),reference_only,2,0.8859649122807017,0.8942307692307692,0.8625941696691779,0.8740973579135163,0.862594169669178
Breast Cancer Wisconsin (WDBC),Single tree (sklearn reference only),reference_only,3,0.9385964912280702,0.941025641025641,0.9265873015873016,0.9329805996472662,0.9265873015873016
Breast Cancer Wisconsin (WDBC),Single tree (sklearn reference only),reference_only,4,0.9298245614035088,0.920076726342711,0.9345238095238095,0.9259740259740259,0.9345238095238094
Breast Cancer Wisconsin (WDBC),Single tree (sklearn reference only),reference_only,5,0.9292035398230089,0.9282534246575342,0.9193494299128102,0.9234417344173442,0.9193494299128103
Breast Cancer Wisconsin (WDBC),"Random Forest, depth-1 (sklearn reference only)",reference_only,1,0.9473684210526315,0.9439895185063871,0.9439895185063871,0.9439895185063871,0.9911562397641663
Breast Cancer Wisconsin (WDBC),"Random Forest, depth-1 (sklearn reference only)",reference_only,2,0.8771929824561403,0.8956228956228957,0.8463806092368162,0.861842105263158,0.9716672125777923
Breast Cancer Wisconsin (WDBC),"Random Forest, depth-1 (sklearn reference only)",reference_only,3,0.9035087719298246,0.9337349397590362,0.8690476190476191,0.8891736632788334,0.9811507936507937
Breast Cancer Wisconsin (WDBC),"Random Forest, depth-1 (sklearn reference only)",reference_only,4,0.9298245614035088,0.920076726342711,0.9345238095238095,0.9259740259740259,0.9874338624338624
Breast Cancer Wisconsin (WDBC),"Random Forest, depth-1 (sklearn reference only)",reference_only,5,0.9380530973451328,0.9470128022759602,0.9215291750503019,0.9318866787221217,0.9834004024144869
Breast Cancer Wisconsin (WDBC),"Random Forest, full (sklearn reference only)",reference_only,1,0.9649122807017544,0.9594202898550726,0.9672453324598755,0.9629870129870131,0.9983622666229938
Breast Cancer Wisconsin (WDBC),"Random Forest, full (sklearn reference only)",reference_only,2,0.9298245614035088,0.941031941031941,0.911562397641664,0.922972972972973,0.9773992793973141
Breast Cancer Wisconsin (WDBC),"Random Forest, full (sklearn reference only)",reference_only,3,0.9649122807017544,0.9736842105263157,0.9523809523809523,0.9614864864864865,0.988260582010582
Breast Cancer Wisconsin (WDBC),"Random Forest, full (sklearn reference only)",reference_only,4,0.956140350877193,0.9483091787439614,0.9603174603174602,0.9535338713621913,0.9960317460317459
Breast Cancer Wisconsin (WDBC),"Random Forest, full (sklearn reference only)",reference_only,5,0.9646017699115044,0.9669520547945205,0.9572434607645876,0.9617208672086721,0.9907780013413815
Adult Income,AdaBoost (ours),project_implementation,1,0.828,0.7809415875714218,0.7239167486598814,0.7443580414258876,0.8896559510944079
Adult Income,AdaBoost (ours),project_implementation,2,0.844,0.8104786899587195,0.7435869938229238,0.7673461352613777,0.8941210535346603
Adult Income,AdaBoost (ours),project_implementation,3,0.841,0.7989900546384936,0.7496997254632807,0.7687336640878288,0.8958449510981469
Adult Income,AdaBoost (ours),project_implementation,4,0.867,0.8491041719118938,0.7750943719972547,0.8019863891696977,0.9118774665408373
Adult Income,AdaBoost (ours),project_implementation,5,0.834,0.7901904837388709,0.7355868222374742,0.7557544832294554,0.8918046499656829
Adult Income,Single tree (sklearn reference only),reference_only,1,0.782,0.709045508716356,0.7178573156765651,0.7131201473878142,0.7178573156765651
Adult Income,Single tree (sklearn reference only),reference_only,2,0.805,0.738409122514254,0.7298172614962252,0.7338650573009003,0.7298172614962251
Adult Income,Single tree (sklearn reference only),reference_only,3,0.794,0.7229929956896552,0.7130447838023335,0.7176535087719298,0.7130447838023335
Adult Income,Single tree (sklearn reference only),reference_only,4,0.802,0.7352390852390852,0.742686170212766,0.7387642228367567,0.742686170212766
Adult Income,Single tree (sklearn reference only),reference_only,5,0.801,0.7330403205201386,0.7298601578586136,0.7314146350680708,0.7298601578586137
Adult Income,"Random Forest, depth-1 (sklearn reference only)",reference_only,1,0.753,0.3765,0.5,0.4295493439817456,0.8695662693356131
Adult Income,"Random Forest, depth-1 (sklearn reference only)",reference_only,2,0.752,0.376,0.5,0.4292237442922374,0.8686406142759093
Adult Income,"Random Forest, depth-1 (sklearn reference only)",reference_only,3,0.752,0.376,0.5,0.4292237442922374,0.8687880705216198
Adult Income,"Random Forest, depth-1 (sklearn reference only)",reference_only,4,0.752,0.376,0.5,0.4292237442922374,0.8877214524708305
Adult Income,"Random Forest, depth-1 (sklearn reference only)",reference_only,5,0.752,0.376,0.5,0.4292237442922374,0.8675306708991077
Adult Income,"Random Forest, full (sklearn reference only)",reference_only,1,0.829,0.7746534056660639,0.7449849723911373,0.7574987484950032,0.8873789591969504
Adult Income,"Random Forest, full (sklearn reference only)",reference_only,2,0.839,0.795078834209269,0.7483699382292381,0.766582433370883,0.8817534960535346
Adult Income,"Random Forest, full (sklearn reference only)",reference_only,3,0.842,0.8009746287128713,0.7503646190803019,0.7698135198135199,0.8900030027453673
Adult Income,"Random Forest, full (sklearn reference only)",reference_only,4,0.848,0.8041591320072332,0.7705688057652711,0.7847744946448496,0.8945258879547013
Adult Income,"Random Forest, full (sklearn reference only)",reference_only,5,0.825,0.772278448205018,0.7309540150995195,0.7471006900538315,0.8840725806451613
Covertype subset,AdaBoost (ours),project_implementation,1,0.618,0.2904833270540716,0.30083028821592167,0.29516560733549924,0.8568233282120344
Covertype subset,AdaBoost (ours),project_implementation,2,0.585,0.2709372922929856,0.293522940278739,0.2778104820590439,0.8301125057580905
Covertype subset,AdaBoost (ours),project_implementation,3,0.632,0.32668991267178765,0.322632221151623,0.3207311849856767,0.8472120568037634
Covertype subset,AdaBoost (ours),project_implementation,4,0.61,0.2905182005319749,0.3068714698375192,0.290511108635772,0.8601629156503986
Covertype subset,AdaBoost (ours),project_implementation,5,0.621,0.3799084691460509,0.3480508071918512,0.3593265984177808,0.8612017110679766
Covertype subset,Single tree (sklearn reference only),reference_only,1,0.684,0.5172504968883388,0.5603132417676618,0.5339685262997067,0.7441371205783293
Covertype subset,Single tree (sklearn reference only),reference_only,2,0.689,0.6393926465424953,0.6029354791546082,0.6130849120186518,0.7662085320206664
Covertype subset,Single tree (sklearn reference only),reference_only,3,0.658,0.5450557241027021,0.5106338985875835,0.5261287210304273,0.7156105799041378
Covertype subset,Single tree (sklearn reference only),reference_only,4,0.673,0.5675181739987889,0.5828077518306467,0.5745611880011009,0.7541750830829284
Covertype subset,Single tree (sklearn reference only),reference_only,5,0.68,0.5884185047173162,0.5321942103123639,0.5548134644479316,0.7283680686988173
Covertype subset,"Random Forest, depth-1 (sklearn reference only)",reference_only,1,0.506,0.17302202718248053,0.15108594526964164,0.1151125798428703,0.9030370451416835
Covertype subset,"Random Forest, depth-1 (sklearn reference only)",reference_only,2,0.486,0.06956770684225594,0.14227166276346606,0.09344356854451066,0.8910608552138607
Covertype subset,"Random Forest, depth-1 (sklearn reference only)",reference_only,3,0.492,0.16998556998556996,0.14471864874402487,0.09908937431535537,0.8920945621142023
Covertype subset,"Random Forest, depth-1 (sklearn reference only)",reference_only,4,0.489,0.06985714285714285,0.14285714285714285,0.09383095078192459,0.8877488324396293
Covertype subset,"Random Forest, depth-1 (sklearn reference only)",reference_only,5,0.503,0.17914089887526444,0.1494421854492112,0.11018785866140271,0.8833552347796593
Covertype subset,"Random Forest, full (sklearn reference only)",reference_only,1,0.785,0.6940426097176257,0.5087804618308571,0.5523318444228263,0.958365518359258
Covertype subset,"Random Forest, full (sklearn reference only)",reference_only,2,0.751,0.7997435129218876,0.5236488734276553,0.5621499795819523,0.9471344941407355
Covertype subset,"Random Forest, full (sklearn reference only)",reference_only,3,0.748,0.701272213810985,0.47520166229269745,0.5185103473421078,0.9448141192663669
Covertype subset,"Random Forest, full (sklearn reference only)",reference_only,4,0.773,0.7973256660475831,0.5831874856488367,0.6426627496678456,0.9426121627272146
Covertype subset,"Random Forest, full (sklearn reference only)",reference_only,5,0.762,0.8502581243577388,0.5061754313652402,0.5710995560981246,0.9502317367898384
